FID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,NPI,ENT_TYPE,ORGAN_NAME,PROVID_11,PROVID_12,PROVID_20,PROVID_21,PROVID_22,PROVID_23,PROVID_24,PROVID_25,PROVID_26,PROVID_27,PROVID_36,LASTUP_37,HEALTH_47,PROVID_48,PROVID_49,HEALTH_51,PROVID_52,PROVID_53,HEALTH_55,PROVID_56,PROVID_57,HEALTH_59,PROVID_60,PROVID_61,HEALTH_63,PROVID_64,PROVID_65,HEALTH_67,PROVID_68,PROVID_69,HEALTH_71,PROVID_72,PROVID_73,HEALTH_75,PROVID_76,PROVID_77,HEALTH_79,PROVID_80,PROVID_81,HEALTH_83,PROVID_84,PROVID_85,HEALTH_87,PROVID_88,PROVID_89,HEALTH_91,PROVID_92,PROVID_93,HEALTH_95,PROVID_96,PROVID_97,HEALTH_99,PROVID_100,PROVID_101,HEALTH_103,PROVID_104,PROVID_105
1001,11699187,UNCLASSIFIED,MOWRY MEDICAL PHARMACY,510-793-5011,1999 MOWRY AVENUE,SUITE 2A,FREMONT,CA,94538,1706,ALAMEDA,6001, , , , ,2010-07-01T00:00:00.000Z,ALT REF,2010-07-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,762826384,-121.981096,37.558298,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HALLERSRX.NET,1740326784,2,MOWRY MEDICAL PHARMACY,GURPARTAP SINGH BASRAI,3,1999 MOWRY AVE,SUITE 2A,FREMONT,CA,945381738,US,5107935011,5107929599,01/29/2007,08-05-08,183500000X,31057,CA,3336C0003X,PHY21138,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1002,11699219,UNCLASSIFIED,MOWRY PLAZA PHARMACY,510-745-9900,668 MOWRY AVENUE, ,FREMONT,CA,94536,4113,ALAMEDA,6001, , , , ,2010-07-01T00:00:00.000Z,ALT REF,2010-07-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,24635683,-121.973766,37.566182,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HALLERSRX.NET,1043356090,2,MOWRY PLAZA PHARMACY,GURPARTAP SINGH BASRAI,5,668 MOWRY AVE, ,FREMONT,CA,945364113,US,5107459900,5107459950,01/29/2007,08-05-08,183500000X,31057,CA,3336C0003X,PHY45452,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1003,11698012,UNCLASSIFIED,KAISER PERMANENTE DALY CITY MEDICAL OFFICE,650-301-5788,395 HICKEY BOULEVARD,FIRST FLOOR,DALY CITY,CA,94015,2770,SAN MATEO,6081, , , , ,2010-07-01T00:00:00.000Z,ALT REF,2010-07-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23749159,-122.463054,37.662743,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTPS://WWW.KAISERPERMANENTE.ORG,1790833531,2,KAISER FOUNDATION HEALTH PLAN INC,KAISER PERMANENTE PHARMACY,3,395 HICKEY BLVD FL 1, ,DALY CITY,CA,940152770,US, , ,01-08-07,10-09-09,333600000X, , ,3336C0003X,PHY46565,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1004,11697767,UNCLASSIFIED,KAISER PERMANENTE TRACY MEDICAL OFFICE,209-839-6212,2185 WEST GRANT LINE ROAD, ,TRACY,CA,95377,7309,SAN JOAQUIN,6077, , , , ,2010-06-28T00:00:00.000Z,ALT REF,2010-06-28T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,112009981,-121.456823,37.755796,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTPS://WWW.KAISERPERMANENTE.ORG,1609923937,2,KAISER FOUNDATION HEALTH PLAN INC,KAISER PERMANENTE PHARMACY,3,2185 W GRANT LINE RD, ,TRACY,CA,953777309,US, , ,01-05-07,07-08-07,3336C0003X, , ,3336M0003X,PHY46987,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1005,11666870,UNCLASSIFIED,WALGREENS - 13596,650-326-3404,300 UNIVERSITY AVENUE, ,PALO ALTO,CA,94301,1715,SANTA CLARA,6085, , , , ,2010-07-02T00:00:00.000Z,ALT REF,2010-07-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23716026,-122.161178,37.445947,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1871508143,2,WALGREEN CO,WALGREEN DRUG STORE,3,1901 E VOORHEES ST,MS720,DANVILLE,IL,618344509,US,2175548964,2175548546,07/29/2006,07/17/2007,332B00000X, , ,3336C0003X, , ,333600000X,PHY40643,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1006,11675286,UNCLASSIFIED,FARMACIA REMEDIOS,510-261-5300,3351 INTERNATIONAL BOULEVARD, ,OAKLAND,CA,94601,3005,ALAMEDA,6001, , , , ,2010-07-07T00:00:00.000Z,ALT REF,2010-07-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23633859,-122.224071,37.77647,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.FARMACIAREMEDIOS.COM,1154436103,2,FARMACIA REMEDIOS,FARMACIA REMEDIOS,3,2180 BRYANT ST STE 108, ,SAN FRANCISCO,CA,941102141,US,4152060800,8667089137,08/20/2006,09/18/2009,333600000X, , ,3336C0003X,PHY46651,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1007,11698019,UNCLASSIFIED,KAISER PERMANENTE HAYWARD MEDICAL CENTER OFFICES,510-784-4220,27400 HESPERIAN BOULEVARD, ,HAYWARD,CA,94545,4235,ALAMEDA,6001, , , , ,2010-07-07T00:00:00.000Z,ALT REF,2010-07-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,24576899,-122.09471,37.630586,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTPS://WWW.KAISERPERMANENTE.ORG,1154479905,2,KAISER FOUNDATION HOSPITALS,KAISER PERMANENTE PHARMACY,3,12254 BELLFLOWER BLVD FL 2,PHARMACY PROFESSIONAL AFFAIRS,DOWNEY,CA,902422804,US,5626583671,5626583712,01-08-07,09/29/2009,3336M0003X, , ,3336C0003X,PHY46815,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1008,11709987,UNCLASSIFIED,KAISER PERMANENTE OAKLAND MEDICAL CENTER,510-752-4181,3701 BROADWAY,BROADWAY MEDICAL OFFICE BUILDING AND CANCER CENTER,OAKLAND,CA,94611,5613,ALAMEDA,6001, , , , ,2010-07-07T00:00:00.000Z,ALT REF,2010-07-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23690690,-122.258668,37.825051,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTPS://WWW.KAISERPERMANENTE.ORG,1104060383,2,KAISER FOUNDATION HEALTH PLAN INC,KAISER PERMANENTE PHARMACY #103,3,"3701 BROADWAY,",FL 4,OAKLAND,CA,946115613,US, , ,05-01-09,05-01-09,333600000X,PHY49884,CA,3336C0002X,PHY49884,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1009,11710371,UNCLASSIFIED,KAISER FOUNDATION FREMONT MEDICAL CENTER NILES WEST PHARMACY,510-248-3338,39400 PASEO PADRE PARKWAY,NILES BUILDING,FREMONT,CA,94538,2310,ALAMEDA,6001, , , , ,2010-07-07T00:00:00.000Z,ALT REF,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28401562,-121.97486,37.551716,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTPS://WWW.KAISERPERMANENTE.ORG,1194952382,2,KAISER FOUNDATION HEALTH PLAN INC,KAISER ONCOLOGY PHARMACY #165,3,39400 PASEO PADRE PKWY FL 2,NILES BLDG,FREMONT,CA,945382310,US,5102483385, ,06/16/2009,06/16/2009,333600000X,PHY48740,CA,3336C0004X,PHY48740,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1010,11652263,UNCLASSIFIED,CVS - 3937,530-529-5509,124 BELLE MILL ROAD, ,RED BLUFF,CA,96080,2850,TEHAMA,6103, , , , ,2010-07-08T00:00:00.000Z,ALT REF,2010-07-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,105400370,-122.228619,40.182387,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1154364925,2,LONGS DRUG STORES CALIFORNIA LLC,CVS PHARMACY #03937,3,1 CVS DR,P.O. BOX 1075,WOONSOCKET,RI,28956146,US,4017651500,4017707108,06/13/2006,09/14/2009,332B00000X, , ,333600000X, , ,3336C0003X,PHY49546,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
